,0
0,0.037768782530202404
1,0.031172178584480896
2,0.020060690059582265
3,0.02119172628840502
4,0.0213456775111
5,0.00017819688419771026
6,0.014275553845626617
7,0.00912029577005823
8,0.008028160773622908
9,0.021808464976110133
10,0.014730408097606177
11,0.008878751621699765
12,0.024756953978882407
13,0.010061316982003085
14,0.017477682168193873
15,0.026458408279525728
16,0.02625764344250997
17,0.028587355380756702
18,0.026443011362886633
19,0.02071433353198222
20,0.03474535214815996
21,0.020184459310557856
22,0.018353921281270513
23,0.007629595014311912
24,0.017765571659090283
25,0.014154340035172339
26,0.017038961393647162
27,0.010335649744920251
28,0.023107145109215306
29,0.005353894922580615
30,0.01493466438091883
31,0.024956054828572726
32,0.024459056408436423
33,0.015748822630077354
34,0.012951635044221206
35,0.021951425095300053
36,0.018990297458289465
37,0.012389843037360892
38,0.014215808074430097
39,0.006413510628411998
40,0.015673885011497274
41,0.025686384343988802
42,0.019661461698221496
43,0.010709850282186854
44,0.017247346677937075
45,0.02521055512024846
46,0.009683429521160584
47,0.009921083832830226
48,0.012015941581481079
49,0.04899778081596446
50,0.01233849530917092
51,0.009363833168246584
52,0.013132158466605847
53,0.005395310943330515
54,0.007521954200677214
55,0.015029985828713283
56,0.004629148166438344
57,0.013449720987823821
58,0.004271350224445099
59,0.01255397974664632
60,0.013034934522256436
61,0.007567954665214492
62,0.017295767454289943
63,0.02094773950136845
64,0.010312980985672364
65,0.017481962166427365
66,0.008648002640551744
67,0.012827770631160354
68,0.013200106170629455
69,0.010025999870618984
70,0.01278863398025065
71,0.015287294067900099
72,0.006838021517893571
73,0.019994390024781466
74,0.006808509878114371
75,0.015672809805894396
76,0.01390958400842535
77,0.019542697203831037
78,0.02388829020765749
79,0.008441277416726657
80,0.00861024683437651
81,0.00758432953434788
82,0.020347601853617312
83,0.010515907163959773
84,0.015044774733549789
85,0.029409768674988027
86,0.013302564693871465
87,0.011781053603186268
88,0.004022134857217206
89,0.018993619690734778
90,0.0006932877931702202
91,0.0
92,0.005018147218857699
93,0.003356583390798794
