,0
0,0.046641916918946896
1,0.0271182257362047
2,0.011838023646904023
3,0.012972958106614906
4,0.0231768965048184
5,0.0553300668497109
6,0.009072790898349186
7,0.013041890559805674
8,0.005655969584679151
9,0.02744999662111721
10,0.023666604435821775
11,0.016722189445143785
12,0.02178975351229167
13,0.0
14,0.03801895160255181
15,0.019171759643016213
16,0.0
17,0.013623835852248124
18,0.017107141895975696
19,0.014496332496178349
20,0.0782441489044117
21,0.013439137677381202
22,0.010233678184620374
23,0.0
24,0.014653500133400292
25,0.018032092537565436
26,0.027252914611941494
27,0.013570471111462274
28,0.01314515637814572
29,0.01596760740471415
30,0.01411360982380155
31,0.016825685724643113
32,0.022798705012313562
33,0.022984847557459387
34,0.031024827833474
35,0.017388954321193435
36,0.009130531944143941
37,0.006587121011589555
38,0.02780637259892551
39,0.013315081411690062
40,0.0130286090682835
41,0.012381176795519401
42,0.018815319770088896
43,0.01339175399261098
44,0.038115601799743035
45,0.004259345841979834
46,0.002754591660323616
47,0.008524594990102888
48,0.0297119670648175
49,0.035229163447072234
50,0.016719910420397707
51,0.009747447018672565
52,0.016326580456773484
53,0.006496509116750633
54,0.014852948503314747
55,0.004045987259073415
56,0.0
57,0.03629013199599884
58,0.0
59,0.014754662583044956
60,0.010460442787083583
61,0.009229655132280934
62,0.009471843761740184
63,0.00709479969945069
64,0.013197728550663241
65,0.003373439397031771
66,0.01403475026204528
67,0.009040758022203466
68,0.009811017584934826
69,0.012161233006549196
70,0.0066699960033312425
71,0.009697475522549487
72,0.007315298721001456
73,0.0037302293968411336
74,0.012760193210823237
75,0.007421528636035429
76,0.01805467708219
77,0.017610327919179814
78,0.013210591978494007
79,0.007615456452858703
80,0.006920407292158769
81,0.02903941067004603
82,0.005571144558577678
83,0.013049880917718547
84,0.013234780955392779
85,0.003676959140110145
86,0.002345131946296229
87,0.007593916195578949
88,0.006557432926338273
89,0.017830808642910933
90,0.005100550202963785
91,0.0
92,0.0026573120618251997
93,0.0
